watershed_group_code,ch,cm,co,pk,sk,st,wct,notes,wcrp
ATNA,t,,t,,t,,,,bela_atna_necl
BELA,t,,t,,t,,,,bela_atna_necl
BONP,t,,t,,t,,,,tho_shu
BOWR,t,,t,,t,,,,bowr_ques_carr
BULK,t,,t,,t,t,,,bulk
CARR,t,,t,,t,,,,bowr_ques_carr
ELKR,,,,,,,t,,elkr
HORS,t,,t,,t,,,,hors
LNIC,t,,t,,,t,,,lnic
NECL,t,,t,,t,,,,bela_atna_necl
QUES,t,,t,,t,,,,bowr_ques_carr
SHUL,t,,t,,t,,,,tho_shu
USHU,t,,t,,t,,,,tho_shu
TAKL,t,,,,t,,,,tuzistol_tah
MIDR,t,,,,t,,,,tuzistol_tah
UTRE,t,,,,t,,,,tuzistol_tah
LTRE,t,,,,t,,,,tuzistol_tah
STUL,t,,,,t,,,,tuzistol_tah
STUR,t,,,,t,,,,tuzistol_tah
DRIR,t,,,,t,,,,tuzistol_tah
NICL,t,,t,,,t,,,
GUIC,t,,t,,,t,,,
